Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2023-11-06,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-07,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-08,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-09,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-10,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-11,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-12,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-13,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-14,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-15,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-16,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-17,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-18,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-19,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-20,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-21,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-22,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-23,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-24,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-25,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-26,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-27,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-28,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-29,9440000000.0,1263000000.0,61525000000.0,,,
2023-11-30,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-01,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-02,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-03,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-04,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-05,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-06,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-07,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-08,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-09,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-10,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-11,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-12,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-13,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-14,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-15,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-16,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-17,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-18,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-19,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-20,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-21,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-22,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-23,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-24,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-25,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-26,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-27,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-28,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-29,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-30,9440000000.0,1263000000.0,61525000000.0,,,
2023-12-31,9440000000.0,1263000000.0,61525000000.0,,,
2024-01-01,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-02,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-03,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-04,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-05,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-06,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-07,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-08,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-09,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-10,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-11,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-12,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-13,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-14,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-15,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-16,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-17,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-18,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-19,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-20,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-21,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-22,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-23,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-24,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-25,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-26,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-27,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-28,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-29,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-30,9105000000.0,1463000000.0,65645000000.0,,,
2024-01-31,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-01,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-02,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-03,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-04,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-05,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-06,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-07,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-08,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-09,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-10,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-11,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-12,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-13,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-14,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-15,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-16,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-17,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-18,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-19,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-20,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-21,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-22,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-23,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-24,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-25,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-26,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-27,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-28,9105000000.0,1463000000.0,65645000000.0,,,
2024-02-29,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-01,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-02,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-03,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-04,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-05,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-06,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-07,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-08,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-09,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-10,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-11,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-12,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-13,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-14,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-15,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-16,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-17,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-18,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-19,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-20,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-21,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-22,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-23,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-24,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-25,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-26,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-27,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-28,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-29,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-30,9105000000.0,1463000000.0,65645000000.0,,,
2024-03-31,9105000000.0,1463000000.0,65645000000.0,,,
2024-04-01,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-02,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-03,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-04,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-05,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-06,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-07,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-08,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-09,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-10,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-11,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-12,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-13,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-14,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-15,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-16,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-17,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-18,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-19,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-20,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-21,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-22,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-23,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-24,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-25,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-26,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-27,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-28,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-29,9577000000.0,1544000000.0,69329000000.0,,,
2024-04-30,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-01,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-02,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-03,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-04,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-05,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-06,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-07,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-08,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-09,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-10,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-11,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-12,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-13,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-14,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-15,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-16,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-17,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-18,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-19,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-20,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-21,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-22,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-23,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-24,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-25,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-26,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-27,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-28,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-29,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-30,9577000000.0,1544000000.0,69329000000.0,,,
2024-05-31,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-01,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-02,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-03,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-04,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-05,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-06,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-07,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-08,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-09,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-10,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-11,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-12,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-13,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-14,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-15,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-16,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-17,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-18,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-19,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-20,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-21,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-22,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-23,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-24,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-25,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-26,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-27,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-28,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-29,9577000000.0,1544000000.0,69329000000.0,,,
2024-06-30,9577000000.0,1544000000.0,69329000000.0,,,
2024-07-01,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-02,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-03,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-04,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-05,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-06,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-07,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-08,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-09,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-10,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-11,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-12,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-13,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-14,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-15,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-16,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-17,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-18,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-19,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-20,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-21,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-22,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-23,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-24,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-25,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-26,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-27,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-28,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-29,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-30,9728000000.0,1413000000.0,73492000000.0,,,
2024-07-31,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-01,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-02,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-03,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-04,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-05,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-06,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-07,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-08,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-09,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-10,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-11,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-12,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-13,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-14,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-15,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-16,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-17,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-18,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-19,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-20,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-21,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-22,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-23,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-24,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-25,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-26,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-27,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-28,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-29,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-30,9728000000.0,1413000000.0,73492000000.0,,,
2024-08-31,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-01,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-02,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-03,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-04,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-05,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-06,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-07,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-08,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-09,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-10,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-11,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-12,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-13,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-14,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-15,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-16,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-17,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-18,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-19,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-20,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-21,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-22,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-23,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-24,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-25,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-26,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-27,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-28,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-29,9728000000.0,1413000000.0,73492000000.0,,,
2024-09-30,9728000000.0,1413000000.0,73492000000.0,,,
2024-10-01,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-02,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-03,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-04,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-05,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-06,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-07,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-08,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-09,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-10,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-11,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-12,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-13,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-14,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-15,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-16,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-17,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-18,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-19,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-20,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-21,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-22,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-23,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-24,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-25,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-26,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-27,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-28,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-29,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-30,10088000000.0,1285000000.0,75196000000.0,,,
2024-10-31,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-01,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-02,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-03,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-04,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-05,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-06,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-07,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-08,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-09,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-10,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-11,10088000000.0,1285000000.0,75196000000.0,,,
2024-11-12,10088000000.0,1285000000.0,75196000000.0,,,
